danceability,loudness,speechiness,valence,tempo,time_signature,liked
0.856,-8.173,0.336,0.723,142.95,4,1
0.789,-5.29,0.097,0.494,136.059,4,1
0.816,-8.561,0.0758,0.402,134.985,3,1
0.915,-10.49,0.343,0.753,124.906,4,1
0.798,-6.61,0.416,0.659,73.679,4,1
0.795,-10.775,0.326,0.649,156.99,4,1
0.657,-13.553,0.526,0.313,148.168,4,1
0.743,-8.47,0.0507,0.415,132.012,4,1
0.797,-5.202,0.241,0.48,136.035,4,1
0.774,-6.933,0.246,0.619,123.041,4,1
0.749,-4.847,0.297,0.804,172.068,4,1
0.448,-4.197,0.105,0.381,119.215,4,0
0.307,-28.493,0.0324,0.154,128.056,4,0
0.25,-7.911,0.145,0.166,136.707,4,0
0.853,-8.239,0.264,0.691,125.059,4,1
0.895,-9.071,0.273,0.719,146.049,4,1
0.85,-5.65,0.123,0.734,142.03,4,1
0.798,-3.832,0.202,0.609,150.04,4,1
0.849,-5.335,0.439,0.665,147.039,4,1
0.666,-8.405,0.324,0.776,74.974,4,1
0.616,-10.264,0.483,0.556,170.054,4,1
0.875,-8.24,0.276,0.558,138.027,4,1
0.792,-10.784,0.0793,0.451,100.047,4,1
0.7,-6.12,0.09,0.429,143.971,4,1
0.696,-7.082,0.253,0.283,131.716,4,1
0.213,-24.81,0.0467,0.0384,65.023,3,0
0.191,-35.616,0.0407,0.142,135.974,3,0
0.792,-7.464,0.275,0.645,155.03,4,1
0.701,-12.26,0.0418,0.163,105.513,3,0
0.533,-5.284,0.0581,0.0888,128.646,5,1
0.922,-6.024,0.171,0.904,104.964,4,1
0.871,-5.363,0.352,0.683,152.085,4,1
0.878,-6.995,0.405,0.638,84.991,4,1
0.853,-6.995,0.447,0.745,157.995,4,1
0.608,-8.664,0.0945,0.682,70.702,3,0
0.912,-6.657,0.401,0.848,140.002,4,1
0.757,-11.121,0.292,0.506,150.035,4,1
0.689,-6.551,0.0774,0.567,75.445,4,1
0.573,-9.026,0.339,0.351,76.506,4,1
0.205,-18.197,0.0595,0.296,136.871,4,0
0.297,-4.505,0.151,0.234,102.757,4,0
0.791,-9.805,0.42,0.492,130.027,4,1
0.87,-8.884,0.23,0.619,79.993,4,1
0.797,-7.373,0.245,0.64,145.121,4,1
0.74,-9.311,0.0635,0.331,138.013,4,1
0.901,-6.199,0.308,0.551,132.979,4,1
0.6,-12.028,0.376,0.205,180.036,3,1
0.747,-7.845,0.197,0.531,77.507,4,1
0.64,-2.336,0.0741,0.692,134.992,4,1
0.827,-5.846,0.128,0.566,146.079,4,1
0.581,-3.45,0.0734,0.357,152.018,4,1
0.752,-7.015,0.181,0.521,150.991,4,1
0.752,-9.966,0.333,0.716,82.795,4,1
0.787,-7.516,0.222,0.647,155.117,4,1
0.808,-5.49,0.273,0.658,149.978,4,1
0.297,-7.173,0.118,0.178,127.693,4,0
0.726,-4.261,0.0662,0.767,140.061,4,1
0.235,-13.864,0.0356,0.126,91.187,3,0
0.656,-9.583,0.0354,0.947,108.698,4,0
0.196,-8.466,0.0818,0.316,179.661,4,0
0.878,-7.856,0.142,0.539,75.006,4,1
0.946,-3.668,0.158,0.652,120.026,4,1
0.802,-8.6,0.0631,0.498,138.984,4,1
0.68,-10.241,0.0353,0.922,108.674,4,0
0.809,-8.546,0.385,0.756,151.974,4,1
0.564,-5.782,0.22,0.191,168.849,4,1
0.784,-5.308,0.0434,0.271,100.007,4,1
0.539,-9.653,0.202,0.375,169.985,4,0
0.668,-12.072,0.118,0.525,159.021,4,1
0.651,-13.87,0.0318,0.962,112.126,4,0
0.462,-5.82,0.0816,0.399,107.877,3,0
0.767,-4.541,0.0387,0.631,90.056,4,1
0.826,-8.516,0.191,0.591,150.067,4,1
0.506,-5.491,0.108,0.556,148.084,4,1
0.64,-6.81,0.039,0.861,145.009,4,1
0.784,-7.649,0.108,0.769,82.028,4,0
0.574,-5.838,0.0965,0.413,110.547,5,1
0.83,-5.777,0.277,0.682,146.154,4,1
0.864,-6.602,0.279,0.22,140.025,4,1
0.847,-2.901,0.305,0.633,142.012,4,1
0.531,-3.929,0.339,0.414,97.51,5,1
0.641,-7.017,0.0857,0.785,149.974,4,1
0.742,-9.795,0.108,0.712,75.026,4,1
0.705,-3.28,0.259,0.766,99.97,4,1
0.358,-8.179,0.0727,0.449,137.681,4,0
0.764,-4.946,0.179,0.742,139.961,4,1
0.851,-8.143,0.222,0.752,154.986,4,1
0.908,-5.735,0.271,0.443,140.006,4,1
0.751,-4.86,0.304,0.761,140.041,4,1
0.598,-10.431,0.0693,0.59,102.035,4,0
0.809,-7.178,0.306,0.639,139.981,4,1
0.318,-23.869,0.0507,0.0384,129.466,3,0
0.716,-3.412,0.261,0.587,139.943,4,1
0.754,-10.889,0.154,0.235,117.006,4,1
0.828,-8.348,0.507,0.58,129.433,4,1
