danceability,loudness,speechiness,acousticness,valence,tempo,duration_ms,time_signature,liked
0.803,-6.764,0.0477,0.451,0.628,95.968,304524.0,4,0
0.762,-7.951,0.306,0.206,0.519,151.329,247178.0,4,1
0.261,-7.584879999999999,0.0419,0.992,0.0382,75.296,286987.0,4,0
0.722,-6.994,0.0585,0.431,0.582,89.86,208920.0,4,1
0.787,-7.516,0.222,0.145,0.647,155.117,179413.0,4,1
0.778,-6.415,0.125,0.0404,0.827,140.951,224029.0,4,1
0.666,-8.405,0.324,0.555,0.776,74.974,146053.0,4,1
0.922,-6.024,0.171,0.0779,0.904,104.964,161800.0,4,1
0.794,-7.063,0.0498,0.143,0.308,112.019,247460.0,4,0
0.853,-6.995,0.447,0.263,0.745,157.995,165363.0,4,1
0.297,-7.173,0.118,5.66e-05,0.178,127.693,182427.0,4,0
0.816,-9.19,0.241,0.00471,0.676,147.942,225000.0,4,1
0.297,-4.505,0.151,0.00146,0.234,102.757,170520.0,4,0
0.564,-5.782,0.22,0.584,0.191,168.849,185667.0,4,1
0.64,-2.336,0.0741,0.0431,0.692,134.992,178013.0,4,1
0.684,-9.906,0.0309,0.221,0.777,106.023,234267.0,4,0
0.85,-5.65,0.123,0.0155,0.734,142.03,136901.0,4,1
0.745,-9.482,0.0874,0.44,0.124,94.032,314367.0,4,0
0.754,-10.889,0.154,0.523,0.235,117.006,201384.0,4,1
0.797,-5.202,0.241,0.0555,0.48,136.035,102353.0,4,1
0.798,-3.832,0.202,0.165,0.609,150.04,139240.0,4,1
0.438,-7.584879999999999,0.0695,0.983,0.37,106.275,270000.0,5,0
0.802,-8.6,0.0631,0.268,0.498,138.984,184627.0,4,1
0.6,-12.028,0.376,0.274,0.205,180.036,176000.0,3,1
0.729,-10.104,0.444,0.747,0.422,155.999,225953.0,4,0
0.867,-7.908,0.237,0.0987,0.193,101.052,210733.0,4,1
0.65,-7.712,0.0514,0.271,0.113,76.503,240924.0,4,1
0.809,-8.546,0.385,0.4,0.756,151.974,185493.0,4,1
0.749,-4.847,0.297,0.0867,0.804,172.068,111000.0,4,1
0.657,-13.553,0.1430921875,0.0608,0.313,148.168,98615.0,4,1
0.689,-6.551,0.0774,0.392,0.567,75.445,168574.0,4,1
0.668,-12.072,0.118,0.0499,0.525,159.021,186415.0,4,1
0.291,-5.138,0.153,0.00127,0.257,79.792,270920.0,4,0
0.573,-9.026,0.339,0.753,0.351,76.506,169347.0,4,1
0.608,-8.664,0.0945,0.446,0.682,70.702,165800.0,3,0
0.307,-7.584879999999999,0.0324,0.708,0.154,128.056,125533.0,4,0
0.784,-7.649,0.108,0.491,0.769,82.028,190067.0,4,0
0.448,-4.197,0.105,0.000428,0.381,119.215,123880.0,4,0
0.648,-8.582,0.0806,0.0182,0.863,100.437,244827.0,4,0
0.895,-9.071,0.273,0.208,0.719,146.049,134554.0,4,1
0.358,-8.179,0.0727,8.18e-05,0.449,137.681,194160.0,4,0
0.742,-9.795,0.108,0.832,0.712,75.026,194000.0,4,1
0.603,-3.777,0.0837,0.00045,0.395,126.025,229933.0,4,1
0.839,-5.663,0.147,0.241,0.724,94.008,207772.0,4,1
0.184,-6.237,0.106,2.32e-05,0.33,93.771,257390.0,3,0
0.373,-5.016,0.122,0.000319,0.34,97.346,211947.0,4,0
0.826,-6.382,0.117,0.392,0.813,99.974,216285.0,4,0
0.924,-3.645,0.188,0.174,0.381,121.063,209667.0,4,1
0.267,-7.584879999999999,0.0531,0.995,0.267,71.428,204327.33870967742,4,0
0.462,-5.82,0.0816,2.94e-05,0.399,107.877,186576.0,3,0
0.616,-10.264,0.483,0.639,0.556,170.054,146480.0,4,1
0.878,-6.995,0.405,0.153,0.638,84.991,163765.0,4,1
0.581,-3.45,0.0734,0.185,0.357,152.018,178809.0,4,1
0.656,-8.757,0.0802,0.653,0.166,84.907,325556.0,4,0
0.363,-5.781,0.131,3.69e-05,0.139,108.017,247564.0,4,0
0.568,-7.654,0.069,0.191,0.328,139.959,219077.0,4,1
0.809,-7.178,0.306,0.335,0.639,139.981,199093.0,4,1
0.757,-11.121,0.292,0.0485,0.506,150.035,167062.0,4,1
0.364,-7.584879999999999,0.0395,0.978,0.0674,101.226,216093.0,4,0
0.247,-7.766,0.0772,2.85e-05,0.318,142.891,237093.0,4,0
0.598,-10.431,0.0693,0.0422,0.59,102.035,197693.0,4,0
